name,description,exchange,industry,close,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
KTB,"Kontoor Brands, Inc.",NYSE,Apparel/Footwear,66.62,80.83,4.05,4.45,720594.7,738970.1666666666,49230193.0,-15.3,293,-17.77,279,0.26,240,-10.94,-3.95,False,False,False
DNN,Denison Mines Corp,AMEX,Other Metals/Minerals,3.02,3.17,5.43,5.74,24436782.7,25483773.3,76960995.0,-9.85,237,0.67,187,-24.5,339,-11.23,-0.81,False,False,False
CRDO,Credo Technology Group Holding Ltd,NASDAQ,Information Technology Services,162.95,223.1,6.99,10.05,10209955.8,6329849.066666666,1031448905.0,-38.35,407,-39.65,386,44.18,113,-11.28,-2.68,False,False,False
PLAB,"Photronics, Inc.",NASDAQ,Electronic Production Equipment,28.99,30.09,5.62,5.19,1399978.0,1353701.0666666667,39243794.0,-14.46,284,-5.85,220,-13.54,298,-11.28,-0.71,False,False,False
POET,POET Technologies Inc.,NASDAQ,Electrical Products,7.95,8.03,4.95,7.0,8811064.8,10715195.60000004,85185805.0,-11.47,255,-28.64,332,6.0,220,-11.37,-0.14,False,False,False
CIEN,Ciena Corporation,NYSE,Telecommunications Equipment,349.54,393.78,5.76,7.05,2873176.2,2245580.8666666667,784920336.0,-15.67,298,-21.49,302,3.04,230,-11.37,-1.59,False,False,False
GPK,Graphic Packaging Holding Company,NYSE,Containers/Packaging,9.5,11.02,4.06,4.47,5726911.8,4882934.966666667,46387882.0,-20.1,350,-10.88,240,-3.36,253,-11.45,-3.08,False,False,False
CHTR,"Charter Communications, Inc.",NASDAQ,Cable/Satellite TV,145.77,143.35,5.08,5.39,2723564.7,2653895.566666667,386858357.0,-6.72,201,4.97,165,-33.01,374,-11.59,0.31,False,False,False
TNDM,"Tandem Diabetes Care, Inc.",NASDAQ,Medical Specialties,17.11,19.37,5.92,6.74,1417701.3,1910195.4666666666,32683444.0,-26.12,385,9.96,143,-18.64,313,-11.6,-1.73,False,False,False
STNE,StoneCo Ltd.,NASDAQ,Miscellaneous Commercial Services,10.1,10.47,4.48,4.37,8005146.6,5864528.266666667,59231735.0,1.51,123,-10.93,241,-27.34,346,-12.26,-0.81,False,False,False
UPST,"Upstart Holdings, Inc.",NASDAQ,Finance/Rental/Leasing,25.59,29.55,4.64,5.66,4153819.6,4562790.533333333,116761810.0,-14.79,288,-19.43,290,-3.07,250,-12.43,-2.37,False,False,False
CELC,Celcuity Inc.,NASDAQ,Medical Specialties,83.45,93.23,4.45,5.27,828129.8,774362.2,64620526.0,-5.94,192,-6.72,224,-24.68,340,-12.45,-1.99,False,False,False
LGN,Legence Corp.,NASDAQ,Engineering & Construction,56.65,63.77,4.93,6.33,833696.8,972013.3,55064553.0,-15.85,300,-33.88,362,11.98,202,-12.58,-1.77,False,False,False
MP,MP Materials Corp.,NYSE,Other Metals/Minerals,50.51,51.23,5.75,6.03,4780278.3,6421328.3,324341292.0,-9.48,232,-12.35,250,-16.12,307,-12.65,-0.23,False,False,False
SFM,"Sprouts Farmers Market, Inc.",NASDAQ,Food Retail,72.76,80.59,5.05,4.99,1873590.3,1658370.9666666666,120663072.0,-12.5,266,-17.43,274,-8.51,273,-12.81,-1.95,False,False,False
WYFI,"WhiteFiber, Inc.",NASDAQ,Data Processing Services,19.14,25.26,7.19,11.32,1822118.6,2500844.2666666666,47866159.0,-30.22,399,-22.13,304,13.73,198,-12.88,-2.14,False,False,False
ROAD,"Construction Partners, Inc.",NASDAQ,Engineering & Construction,99.67,106.74,4.3,4.68,492445.9,658208.7,65603661.0,-17.61,316,-6.02,221,-15.68,306,-13.1,-1.41,False,False,False
CAMT,Camtek Ltd.,NASDAQ,Electronic Components,147.97,147.16,4.03,5.66,379819.7,447376.6,66198316.0,-14.33,283,-19.93,294,-5.6,266,-13.29,0.1,False,False,False
RH,RH,NYSE,Specialty Stores,134.07,166.72,5.38,6.15,884714.7,763340.7333333333,102341092.0,-26.46,389,-15.85,270,1.88,237,-13.48,-3.19,False,False,False
PLUG,"Plug Power, Inc.",NASDAQ,Electronic Production Equipment,2.1,2.2,4.52,5.85,46050305.3,58742149.36666667,123358514.0,-7.89,212,-26.32,321,-6.67,269,-13.63,-0.79,False,False,False
UEC,Uranium Energy Corp.,AMEX,Other Metals/Minerals,10.45,10.85,6.48,6.46,8271488.2,8171885.066666666,85396199.0,-11.44,254,-4.74,213,-25.89,344,-14.02,-0.58,False,False,False
SEDG,"SolarEdge Technologies, Inc.",NASDAQ,Electrical Products,34.68,40.19,6.56,8.44,3507952.1,3831122.6,132863332.0,1.85,118,-41.64,390,-2.5,246,-14.1,-1.62,False,False,False
INOD,Innodata Inc.,NASDAQ,Data Processing Services,53.21,61.52,4.58,5.97,758755.4,1340052.0333333334,71304169.0,-15.54,295,-49.83,402,22.97,165,-14.13,-2.26,False,False,False
POWI,"Power Integrations, Inc.",NASDAQ,Semiconductors,52.28,61.24,4.17,5.32,930529.7,735945.6,38475236.0,-20.47,355,-33.04,353,10.88,205,-14.21,-2.75,False,False,False
MOD,Modine Manufacturing Company,NYSE,Industrial Machinery,189.3,207.57,4.82,5.87,1187393.3,1289618.0666666667,244124700.0,-9.5,233,-30.86,342,-2.49,245,-14.29,-1.5,False,False,False
CORZ,"Core Scientific, Inc.",NASDAQ,Packaged Software,17.94,20.24,5.04,6.73,11128804.6,11697730.2,209857280.0,-16.03,305,-35.32,370,8.4,214,-14.32,-1.69,False,False,False
PUMP,ProPetro Holding Corp.,NYSE,Oilfield Services/Equipment,11.45,11.81,4.49,5.26,3170666.6,2943880.1,33707427.0,-2.14,153,-22.43,306,-18.68,314,-14.41,-0.58,False,False,False
MWH,"SOLV Energy, Inc.",NASDAQ,Engineering & Construction,26.0,28.13,4.84,5.98,1554205.3,1829341.4666666666,47562878.0,-15.86,301,-18.6,286,-9.34,277,-14.6,-1.27,False,False,False
IBP,"Installed Building Products, Inc.",NYSE,Engineering & Construction,204.28,232.67,4.62,5.23,408760.0,329920.3333333333,67396126.0,-18.07,320,-0.59,189,-25.69,343,-14.79,-2.33,False,False,False
IONQ,"IonQ, Inc.",NYSE,Computer Processing Hardware,36.75,40.1,5.77,7.01,21218002.1,19952741.333333332,733263244.0,-17.67,317,-36.31,372,9.44,210,-14.85,-1.19,False,False,False
SOUN,"SoundHound AI, Inc.",NASDAQ,Packaged Software,6.26,6.74,4.33,5.35,23875332.1,28723045.2,179806263.0,-16.98,312,-11.33,244,-17.79,310,-15.37,-1.33,False,False,False
CELH,"Celsius Holdings, Inc.",NASDAQ,Beverages: Non-Alcoholic,27.22,30.01,4.73,5.65,7443155.299999992,11461009.266666662,311968672.0,-2.82,160,-5.39,218,-37.94,387,-15.38,-1.64,False,False,False
RDW,Redwire Corporation,NYSE,Aerospace & Defense,10.62,10.69,5.18,6.97,11365979.1,15035272.1,159674590.0,-22.2,366,-34.77,368,10.62,208,-15.45,-0.1,False,False,False
AEO,"American Eagle Outfitters, Inc.",NYSE,Apparel/Footwear Retail,15.02,16.92,4.26,5.4,9862423.3,6296799.466666667,94577928.0,-12.83,269,-18.46,284,-15.57,305,-15.62,-2.09,False,False,False
EQPT,EquipmentShare.com Inc,NASDAQ,Internet Software/Services,18.02,18.64,4.94,6.36,2251604.9,2332164.3666666667,42025602.0,-8.76,226,-8.2,231,-30.4,360,-15.79,-0.53,False,False,False
GT,The Goodyear Tire & Rubber Company,NASDAQ,Automotive Aftermarket,5.37,6.52,5.0,5.29,8508246.9,8824983.466666667,47390161.0,-12.4,263,-11.24,243,-24.47,338,-16.04,-3.33,False,False,False
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",NASDAQ,Department Stores,73.56,72.29,4.45,4.53,2284851.1,1601814.3666666667,117829465.0,-5.57,188,-12.2,249,-31.71,369,-16.49,0.39,False,False,False
RGTI,"Rigetti Computing, Inc.",NASDAQ,Computer Processing Hardware,15.27,16.14,5.03,6.35,16435391.9,18006597.033333335,274960737.0,-17.77,318,-26.09,319,-7.06,270,-16.97,-0.85,False,False,False
SMR,NuScale Power Corporation,NYSE,Electrical Products,8.61,9.11,8.2,8.85,34607766.8,34402177.2,296202746.0,-12.46,265,-12.1,248,-28.13,351,-17.56,-0.62,False,False,False
RZLV,Rezolve AI PLC,NASDAQ,Packaged Software,2.29,2.53,6.81,6.91,23979134.7,17925292.266666666,41048919.0,-18.51,326,-16.73,273,-17.92,311,-17.72,-1.35,False,False,False
NVTS,Navitas Semiconductor Corporation,NASDAQ,Semiconductors,11.63,12.45,5.47,7.52,10587412.1,12436838.5,144640432.0,-18.9,334,-47.14,400,11.56,204,-18.16,-0.88,False,False,False
BROS,Dutch Bros Inc.,NYSE,Restaurants,43.9,57.16,4.05,4.75,4016685.6,4403482.8,193312895.0,-12.2,260,-32.46,350,-10.15,281,-18.27,-4.88,False,False,False
QBTS,D-Wave Quantum Inc.,NASDAQ,Computer Processing Hardware,16.8,18.8,4.7,6.47,15375145.4,16089344.9,270300994.0,-19.19,340,-28.92,333,-7.28,271,-18.46,-1.64,False,False,False
LEU,Centrus Energy Corp.,NYSE,Other Metals/Minerals,152.31,174.71,8.19,8.12,736911.7,632933.7333333322,96402137.0,-22.28,367,-4.3,209,-30.13,358,-18.91,-1.58,False,False,False
AAON,"AAON, Inc.",NASDAQ,Industrial Machinery,79.8,92.02,4.1,5.12,1025082.0999999999,1183821.5000000002,94463037.0,-9.68,235,-38.2,380,-10.12,280,-19.33,-2.59,False,False,False
QNT,Quantinuum Inc.,NASDAQ,Computer Processing Hardware,49.03,57.87,5.16,7.68,1504433.5,1522651.1666666667,74655587.0,-17.8,319,-12.68,253,-27.9,349,-19.46,-1.99,False,False,False
LBRT,Liberty Energy Inc.,NYSE,Oilfield Services/Equipment,20.96,21.07,4.19,5.04,3160169.5,3606689.433333333,75596211.0,-3.85,172,-24.41,318,-30.48,362,-19.58,-0.11,False,False,False
APP,Applovin Corporation,NASDAQ,Packaged Software,323.96,377.58,4.14,5.02,4411823.0,6107397.766666667,1978552580.0,1.48,125,-32.37,349,-28.14,352,-19.68,-2.83,False,False,False
EYE,"National Vision Holdings, Inc.",NASDAQ,Specialty Stores,17.29,19.6,4.43,4.77,2074737.8,2216257.1666666665,38319086.0,-21.41,363,-5.21,216,-33.37,375,-20.0,-2.47,False,False,False
APLD,Applied Digital Corporation,NASDAQ,Data Processing Services,26.42,28.43,5.28,7.12,14720767.7,15605269.466666663,412291219.0,-18.33,324,-36.32,373,-5.98,267,-20.21,-0.99,False,False,False
WING,Wingstop Inc.,NASDAQ,Restaurants,117.1,128.3,4.91,5.72,1100424.0,1184868.0333333334,138748047.0,3.53,105,-24.08,317,-40.56,390,-20.37,-1.53,False,False,False
NN,NextNav Inc.,NASDAQ,Packaged Software,15.18,15.51,5.7,6.95,2447894.9,2868432.3,43542802.0,-16.46,306,-34.0,363,-10.71,284,-20.39,-0.31,False,False,False
